sim_id	distance	allele0	allele1
SimX	0.00388   	1	1.35
SimX	0.00388   	1	1.3
SimX	0.00388   	1	1.45
SimX	0.00388   	1	1.55
SimX	0.00388   	1	1.35
SimX	0.00388   	1	1.7
SimX	0.0039    	1	1.65
SimX	0.0039    	1	1.35
SimX	0.00392   	1	1.4
SimX	0.00392   	1	1.4
SimX	0.00392   	1	1.35
SimX	0.00392   	1	1.35
SimX	0.00392   	1	1.4
SimX	0.00392   	1	1.4
SimX	0.00392   	1	1.4
SimX	0.00392   	1	1.35
SimX	0.00392   	1	1.35
SimX	0.00393   	1	1.35
SimX	0.00394   	1	1.3
SimX	0.00394   	1	1.35
SimX	0.00394   	1	1.4
SimX	0.00394   	1	1.35
SimX	0.00394   	1	1.35
SimX	0.00394   	1	1.45
SimX	0.00396   	1	1.4
SimX	0.00396   	1	1.35
SimX	0.00396   	1	1.4
SimX	0.00396   	1	1.35
SimX	0.00396   	1	1.35
SimX	0.00396   	1	1.4
SimX	0.00398   	1	1.4
SimX	0.00398   	1	1.4
SimX	0.00398   	1	1.4
SimX	0.00398   	1	1.4
SimX	0.004     	1	1.45
SimX	0.004     	1	1.35
SimX	0.004     	1	1.4
SimX	0.00402   	1	1.35
SimX	0.00402   	1	1.5
SimX	0.00402   	1	1.3
SimX	0.00402   	1	1.45
SimX	0.00402   	1	1.35
SimX	0.00402   	1	1.75
SimX	0.00404   	1	1.4
SimX	0.00404   	1	1.7
SimX	0.00404   	1	1.3
SimX	0.00404   	1	1.45
SimX	0.00404   	1	1.6
SimX	0.00404   	1	1.45
SimX	0.00406   	1	1.35
SimX	0.00406   	1	1.4
SimX	0.00406   	1	1.3
SimX	0.00406   	1	1.4
SimX	0.00408   	1	1.35
SimX	0.00408   	1	1.4
SimX	0.00408   	1	1.65
SimX	0.00408   	1	1.6
SimX	0.00408   	1	1.45
SimX	0.0041    	1	1.35
SimX	0.0041    	1	1.35
SimX	0.0041    	1	1.6
SimX	0.0041    	1	1.3
SimX	0.0041    	1	1.35
SimX	0.0041    	1	1.35
SimX	0.0041    	1	1.4
SimX	0.0041    	1	1.45
SimX	0.0041    	1	1.45
SimX	0.0041    	1	1.45
SimX	0.0041    	1	1.45
SimX	0.00412   	1	1.6
SimX	0.00412   	1	1.45
SimX	0.00412   	1	1.4
SimX	0.00414   	1	1.35
SimX	0.00414   	1	1.45
SimX	0.00414   	1	1.35
SimX	0.00414   	1	1.45
SimX	0.00414   	1	1.4
SimX	0.00414   	1	1.5
SimX	0.00416   	1	1.35
SimX	0.00416   	1	1.4
SimX	0.00416   	1	1.35
SimX	0.00416   	1	1.3
SimX	0.00416   	1	1.3
SimX	0.00416   	1	1.35
SimX	0.00418   	1	1.35
SimX	0.00418   	1	1.4
SimX	0.00418   	1	1.45
SimX	0.00418   	1	1.4
SimX	0.0042    	1	1.35
SimX	0.0042    	1	1.3
SimX	0.0042    	1	1.2
SimX	0.0042    	1	1.6
SimX	0.0042    	1	1.4
SimX	0.0042    	1	1.45
SimX	0.00422   	1	1.35
SimX	0.00422   	1	1.35
SimX	0.00422   	1	1.4
SimX	0.00422   	1	1.4
SimX	0.00422   	1	1.3
SimX	0.00422   	1	1.45
SimX	0.00424   	1	1.45
SimX	0.00424   	1	1.4
SimX	0.00424   	1	1.55
SimX	0.00426   	1	1.45
SimX	0.00426   	1	1.3
SimX	0.00426   	1	1.35
SimX	0.00428   	1	1.4
SimX	0.00428   	1	1.45
SimX	0.00428   	1	1.45
SimX	0.00428   	1	1.45
SimX	0.00428   	1	1.55
SimX	0.0043    	1	1.45
SimX	0.0043    	1	1.4
SimX	0.00432   	1	1.3
SimX	0.00432   	1	1.3
SimX	0.00432   	1	1.35
SimX	0.00432   	1	1.35
SimX	0.00432   	1	1.45
SimX	0.00432   	1	1.3
SimX	0.00432   	1	1.4
SimX	0.00432   	1	1.45
SimX	0.00434   	1	1.3
SimX	0.00434   	1	1.4
